"Time","Sonar Distance Measure (mm)"
2023-10-07 20:30:12,2505
2023-10-07 20:40:12,2550
2023-10-07 20:50:13,2660
2023-10-07 21:00:12,2815
2023-10-07 21:10:12,2970
2023-10-08 05:20:12,3980
2023-10-08 05:30:13,3880
2023-10-08 05:40:13,3765
2023-10-08 05:50:12,3680
2023-10-08 06:00:13,3555
2023-10-08 06:10:13,3435
2023-10-08 06:20:12,3325
2023-10-08 06:30:13,3195
2023-10-08 06:40:13,3085
2023-10-08 06:50:13,2995
2023-10-08 07:00:13,2915
2023-10-08 07:10:12,2805
2023-10-08 07:20:13,2715
2023-10-08 07:30:13,2635
2023-10-08 07:40:12,2600
2023-10-08 07:50:13,2570
2023-10-08 08:00:13,2520
2023-10-08 08:10:17,2480
2023-10-08 08:20:17,2480
2023-10-08 08:30:13,2505
2023-10-08 08:40:12,2570
2023-10-08 08:50:13,2625
2023-10-08 09:00:13,2705
2023-10-08 09:10:12,2775
2023-10-08 09:20:12,2860
2023-10-08 09:30:13,2995
2023-10-08 09:40:18,3115
2023-10-08 09:50:12,3245
2023-10-08 10:00:13,3380
2023-10-08 10:10:12,3520
2023-10-08 10:20:13,3645
2023-10-08 10:30:13,3795
2023-10-08 10:40:12,3950
2023-10-08 19:50:12,3720
2023-10-08 20:00:13,3500
2023-10-08 20:10:13,3310
2023-10-08 20:20:12,3130
2023-10-08 20:30:13,2980
2023-10-08 20:40:13,2850
2023-10-08 20:50:12,2720
2023-10-08 21:00:13,2635
2023-10-08 21:10:13,2580
2023-10-08 21:20:13,2530
2023-10-08 21:30:13,2480
2023-10-08 21:40:12,2465
2023-10-08 21:50:13,2465
2023-10-08 22:00:13,2475
2023-10-08 22:10:12,2565
2023-10-08 22:20:12,2595
2023-10-08 22:30:13,2685
2023-10-08 22:40:12,2765
2023-10-08 22:50:12,2870
2023-10-08 23:00:13,3030
2023-10-09 07:10:12,7710
2023-10-09 07:20:13,4105
2023-10-09 07:30:18,3945
2023-10-09 07:40:17,3740
2023-10-09 07:50:13,3620
2023-10-09 08:00:13,3450
2023-10-09 08:10:12,3285
2023-10-09 08:20:13,3145
2023-10-09 08:30:12,3000
2023-10-09 08:40:12,2905
2023-10-09 08:50:13,2795
2023-10-09 09:00:12,2715
2023-10-09 09:10:12,2675
2023-10-09 09:20:13,2620
2023-10-09 09:30:13,2580
2023-10-09 09:40:12,2520
2023-10-09 09:50:13,2490
2023-10-09 10:00:13,2450
2023-10-09 10:10:12,2430
2023-10-09 10:20:13,2445
2023-10-09 10:30:12,2490
2023-10-09 10:40:12,2545
2023-10-09 10:50:13,2595
2023-10-09 11:00:12,2670
2023-10-09 11:10:12,2745
2023-10-09 11:20:13,2860
2023-10-09 11:30:13,2975
2023-10-09 11:40:13,3105
2023-10-09 11:50:13,3255
2023-10-09 12:00:12,3390
2023-10-09 12:10:13,3535
2023-10-09 20:20:13,4030
2023-10-09 20:30:13,3845
2023-10-09 20:40:13,3655
2023-10-09 20:50:13,3455
2023-10-09 21:00:17,3295
2023-10-09 21:10:13,3125
2023-10-09 21:20:13,2955
2023-10-09 21:30:12,2810
2023-10-09 21:40:12,2680
2023-10-09 21:50:13,2560
2023-10-09 22:00:12,2475
2023-10-09 22:10:12,2360
2023-10-09 22:20:13,2240
2023-10-09 22:30:18,2145
2023-10-09 22:40:12,2100
2023-10-09 22:50:13,2075
2023-10-09 23:00:13,2065
2023-10-09 23:10:12,2090
2023-10-09 23:20:13,2075
2023-10-09 23:30:13,2110
2023-10-09 23:40:12,2190
2023-10-09 23:50:13,2290
2023-10-10 00:00:13,2420
2023-10-10 00:10:12,2505
2023-10-10 00:20:13,2605
2023-10-10 00:30:18,2760
2023-10-10 00:40:12,2980
2023-10-10 00:50:12,3120
2023-10-10 01:00:13,3275
2023-10-10 01:10:13,3430
2023-10-10 09:20:13,3610
2023-10-10 09:30:12,3485
2023-10-10 09:40:12,3375
2023-10-10 09:50:13,3230
2023-10-10 10:00:13,3125
2023-10-10 10:10:13,2995
2023-10-10 10:20:12,2870
2023-10-10 10:30:13,2775
2023-10-10 10:40:18,2680
2023-10-10 10:50:12,2625
2023-10-10 11:00:12,2565
2023-10-10 11:10:13,2485
2023-10-10 11:20:12,2425
2023-10-10 11:30:17,2375
2023-10-10 11:40:13,2340
2023-10-10 11:50:13,2355
2023-10-10 12:00:17,2390
2023-10-10 12:10:13,2435
2023-10-10 12:20:13,2495
2023-10-10 12:30:12,2580
2023-10-10 12:40:14,2630
2023-10-10 12:50:12,2765
2023-10-10 13:00:13,2905
2023-10-10 13:10:12,3085
2023-10-10 13:20:12,3285
2023-10-10 13:30:18,3425
2023-10-10 13:40:18,3530
2023-10-10 13:50:12,3725
2023-10-10 14:00:13,3870
2023-10-10 22:10:13,3460
2023-10-10 22:20:13,3270
2023-10-10 22:30:12,3080
2023-10-10 22:40:13,2905
2023-10-10 22:50:12,2745
2023-10-10 23:00:13,2610
2023-10-10 23:10:13,2470
2023-10-10 23:20:12,2330
2023-10-10 23:30:13,2200
2023-10-10 23:40:13,2095
2023-10-10 23:50:12,2030
2023-10-11 00:00:13,1985
2023-10-11 00:10:13,1950
2023-10-11 00:20:12,1935
2023-10-11 00:30:17,1935
2023-10-11 00:40:13,1980
2023-10-11 00:50:17,2100
2023-10-11 01:00:12,2185
2023-10-11 01:10:13,2315
2023-10-11 01:20:13,2435
2023-10-11 01:30:12,2510
2023-10-11 01:40:13,2655
2023-10-11 01:50:13,2850
2023-10-11 02:00:12,3065
2023-10-11 10:10:13,3025
2023-10-11 10:20:12,2875
2023-10-11 10:30:12,2720
2023-10-11 10:40:13,2600
2023-10-11 10:50:12,2500
2023-10-11 11:00:13,2390
2023-10-11 11:10:13,2285
2023-10-11 11:20:12,2165
2023-10-11 11:30:13,2065
2023-10-11 11:40:13,1975
2023-10-11 11:50:12,1905
2023-10-11 12:00:13,1875
2023-10-11 12:10:13,1800
2023-10-11 12:20:12,1755
2023-10-11 12:30:13,1725
2023-10-11 12:40:13,1745
2023-10-11 12:50:12,1795
2023-10-11 13:00:13,1865
2023-10-11 13:10:13,1965
2023-10-11 13:20:12,2075
2023-10-11 13:30:13,2240
2023-10-11 13:40:13,2395
2023-10-11 13:50:17,2515
2023-10-11 14:00:13,2680
2023-10-11 14:10:13,2880
2023-10-11 14:20:12,3055
2023-10-11 14:30:13,3295
2023-10-11 14:40:18,3435
2023-10-11 22:50:13,2915
2023-10-11 23:00:13,2715
2023-10-11 23:10:12,2540
2023-10-11 23:20:13,2370
2023-10-11 23:30:13,2215
2023-10-11 23:40:12,2060
2023-10-11 23:50:18,1915
2023-10-12 00:00:18,1775
2023-10-12 00:10:17,1640
2023-10-12 00:20:12,1520
2023-10-12 00:30:13,1390
2023-10-12 00:40:13,1260
2023-10-12 00:50:12,1195
2023-10-12 01:00:13,1195
2023-10-12 01:10:13,1225
2023-10-12 01:20:12,1275
2023-10-12 01:30:12,1360
2023-10-12 01:40:13,1445
2023-10-12 01:50:12,1560
2023-10-12 02:00:12,1735
2023-10-12 02:10:13,1940
2023-10-12 02:20:13,2125
2023-10-12 02:30:12,2315
2023-10-12 02:40:17,2455
2023-10-12 02:50:13,2610
2023-10-12 03:00:13,2795
2023-10-12 03:10:13,3020
2023-10-12 11:20:13,2215
2023-10-12 11:30:13,2105
2023-10-12 11:40:12,2040
2023-10-12 11:50:13,1960
2023-10-12 12:00:12,1880
2023-10-12 12:10:12,1775
2023-10-12 12:20:13,1675
2023-10-12 12:30:12,1660
2023-10-12 12:40:12,1575
2023-10-12 12:50:13,1510
2023-10-12 13:00:13,1430
2023-10-12 13:10:12,1405
2023-10-12 13:20:12,1445
2023-10-12 13:30:13,1545
2023-10-12 13:40:12,1645
2023-10-12 13:50:13,1765
2023-10-12 14:00:13,1880
2023-10-12 14:10:12,2060
2023-10-12 14:20:13,2150
2023-10-12 14:30:13,2290
2023-10-12 14:40:13,2485
2023-10-12 14:50:13,2725
2023-10-12 15:00:13,2925
2023-10-12 15:10:12,3115
2023-10-12 15:20:13,3300
2023-10-12 15:30:13,3480
2023-10-12 15:40:12,3645
2023-10-12 15:50:18,3805
2023-10-12 16:00:13,3970
2023-10-13 00:10:13,2735
2023-10-13 00:20:13,2530
2023-10-13 00:30:13,2350
2023-10-13 00:40:12,2145
2023-10-13 00:50:12,1955
2023-10-13 01:00:13,1785
2023-10-13 01:10:17,1665
2023-10-13 01:20:12,1555
2023-10-13 01:30:13,1475
2023-10-13 01:40:13,1415
2023-10-13 01:50:17,1385
2023-10-13 02:00:13,1420
2023-10-13 02:10:13,1525
2023-10-13 02:20:12,1620
2023-10-13 02:30:17,1750
2023-10-13 02:40:13,1915
2023-10-13 02:50:12,2110
2023-10-13 03:00:12,2330
2023-10-13 03:10:13,2435
2023-10-13 03:20:12,2635
2023-10-13 03:30:12,2840
2023-10-13 03:40:13,3045
2023-10-13 03:50:12,3245
2023-10-13 04:00:17,3435
2023-10-13 12:10:13,2640
2023-10-13 12:20:12,2540
2023-10-13 12:30:13,2350
2023-10-13 12:40:13,2230
2023-10-13 12:50:12,2075
2023-10-13 13:00:13,1905
2023-10-13 13:10:12,1730
2023-10-13 13:20:13,1650
2023-10-13 13:30:13,1590
2023-10-13 13:40:12,1540
2023-10-13 13:50:13,1520
2023-10-13 14:00:17,1530
2023-10-13 14:10:13,1605
2023-10-13 14:20:13,1725
2023-10-13 14:30:12,1880
2023-10-13 14:40:13,2040
2023-10-13 14:50:12,2110
2023-10-13 15:00:13,2290
2023-10-13 15:10:13,2495
2023-10-13 15:20:12,2710
2023-10-13 15:30:13,2945
2023-10-13 15:40:12,3115
2023-10-14 00:50:13,1535
2023-10-14 01:00:12,1330
